symbol,company_name
20MICRONS,20 Microns Ltd
3IINFOLTD,3i Infotech Ltd.
63MOONS,Financial Technologies (India) Ltd.
AARTIDRUGS,Aarti Drugs Ltd.
ABAN,Aban Offshore Ltd.
ABGSHIP,ABG Shipyard Ltd.
ABIRLANUVO,Aditya Birla Nuvo Ltd.
ACCELYA,Accelya Kale Solutions Ltd.
ACI,Archean Chemical Industries Ltd.
ACLGATI,Gati Ltd.
ADOR,Ador Welding Ltd.
ADSL,Allied Digital Services Ltd.
ADVANTA,Advanta Ltd.
ADVENZYMES,Advanced Enzyme Tech Ltd.
AETHER,Aether Industries Ltd.
AFTEK,Aftek Ltd.
AGARWALEYE,Dr. Agarwal's Health Care Ltd.
AGI,HSIL Ltd.
AGRODUTCH,Agro Dutch Industries Ltd.
AHLUCONT,Ahluwalia Contracts (India) Ltd.
AJRINFRA,Gammon Infrastructure Projects Ltd.
AKSHOPTFBR,Aksh Optifibre Ltd.
ALBK,Allahabad Bank
ALEMBICLTD,Alembic Ltd.
ALFALAVAL,Alfa Laval (India) Ltd.
ALIVUS,Glenmark Life Sciences Ltd.
ALKYLAMINE,Alkyl Amines Chemicals Ltd.
ALLCARGO,Allcargo Logistics Ltd.
ALOKINDS,Alok Industries Ltd.
AMTEKAUTO,Amtek Auto Ltd.
ANDHRABANK,Andhra Bank
ANDHRAPAP,International Paper APPM Ltd.
ANDHRSUGAR,Andhra Sugars Ltd.
ANSALAPI,Ansal Properties & Infrastructure Ltd.
APLLTD,Alembic Pharmaceuticals Ltd.
APTECHT,Aptech Ltd.
ARCHIES,Archies Ltd.
ARSHIYA,Arshiya International Ltd.
ARVIND,Arvind Ltd.
ARVINDFASN,Arvind Fashions Ltd.
ASHIANA,Ashiana Housing Ltd.
ASHIMASYN,Ashima Ltd.
ASHOKA,Ashoka Buildcon Ltd.
ASIANELEC,Asian Electronics Ltd.
ASIANHOTNR,Asian Hotels (North) Ltd.
ASTRAZEN,AstraZenca Pharma India Ltd.
ATLASCYCLE,Atlas Cycle (Haryana) Ltd.
ATVPR,ATV Projects India Ltd.
AUTOAXLES,Automotive Axles Ltd.
AUTOIND,Autoline Industries Ltd.
AVANTIFEED,Avanti Feeds Ltd.
AZAD,Azad Engineering Ltd.
AZTECSOFT,Aztecsoft Ltd.
BAGMANE,Bagmane Prime Office REIT
BAJAJCON,Bajaj Corp Ltd.
BAJAJELEC,Bajaj Electricals Ltd
BAJAJHIND,Bajaj Hindusthan Ltd.
BALAJITELE,Balaji Telefilms Ltd.
BALAMINES,Balaji Amines Ltd.
BALLARPUR,Ballarpur Industries Ltd.
BALMLAWRIE,Balmer Lawrie & Co. Ltd.
BANARISUG,Bannari Amman Sugars Ltd.
BANCOINDIA,Banco Products (India) Ltd.
BANKPUNJAB,Bank of Punjab Ltd.
BARODARY,Baroda Rayon Corporation Ltd.
BASF,BASF India Ltd.
BBL,Bharat Bijlee Ltd.
BBOX,AGC Networks Ltd.
BCG,Brightcom Group Ltd.
BEPL,Bhansali Engineering Polymers Ltd.
BFUTILITIE,BF Utilities Ltd.
BGFL,Birla Global Finance Ltd.
BGRENERGY,BGR Energy Systems Ltd
BHARATCOAL,Bharat Coking Coal Ltd.
BHARATFIN,SKS Microfinance Ltd.
BHARATRAS,Bharat Rasayan Ltd.
BIRET,Brookfield India Real Estate Trust
BIRLACABLE,Birla Ericsson Optical Ltd.
BIRLACORPN,Birla Corporation Ltd.
BLISSGVS,Bliss GVS Pharma Ltd.
BLKASHYAP,B L Kashyap & Sons Ltd.
BLUESTINFO,Blue Star Infotech Ltd.
BOMDYEING,Bombay Dyeing & Manufacturing Co. Ltd.
BONGAIREFN,Bongaigaon Refinery & Petrochemicals Ltd.
BORORENEW,Borosil Renewables Ltd.
BOSCH-HCIL,Hitachi Home & Life Solutions (India) Ltd.
BOSCHCHASY,Bosch Chassis Systems India Ltd.
BPL,BPL Ltd.
BRFL,Bombay Rayon Fashions Ltd.
BSL,BSL Ltd.
CAIRN,Cairn India Ltd.
CAMLINFINE,Camlin Fine Sciences Ltd.
CAMPUS,Campus Activewear Ltd.
CAPF,Capital First Ltd.
CAPRIHANS,Caprihans India Ltd.
CARERATING,CARE Ltd.
CAROLINFO,Carol Info Services Ltd.
CASTEXTECH,Amtek India Ltd.
CCAVENUE,Infibeam Incorporation Ltd.
CELLO,Cello World Ltd.
CENTENKA,Century Enka Ltd.
CENTURYPLY,Century Plyboards (India) Ltd.
CERA,Cera Sanitaryware Ltd
CHEMPLASTS,Chemplast Sanmar Ltd.
CHETTINAD,Chettinad Cement Corporation Ltd.
CHOWGULSTM,Chowgule Steamships Ltd.
CINEVISTA,Cinevista Ltd.
CIPL,Central India Polyesters Ltd.
CLARIANT,Clariant (India) Ltd.
CLEANMAX,Clean Max Enviro Energy Solutions Ltd.
CMC,CMC Ltd.
CMPDI,Central Mine Planning & Design Institute Ltd.
COCHINREFN,Kochi Refineries Ltd.
COFFEEDAY,Coffee Day Enterprises Ltd.
CONSOFINVT,Consolidated Finvest & Holdings Ltd.
COREEDUTEC,CORE Education & Technologies Ltd.
CORPBANK,Corporation Bank
COSMOFIRST,Cosmo Films Ltd.
COX&KINGS,Cox & Kings Ltd.
CREATIVEYE,Creative Eye Ltd.
CRESTANI,Crest Animation Studios Ltd.
CSBBANK,CSB Bank Ltd.
CUPID,Cupid Ltd.
CYBERTECH,Cybertech Systems & Software Ltd.
DALMIABHA,Dalmia Bharat Ltd.
DALMIASUG,Dalmia Bharat Sugar and Industries Ltd.
DBCORP,D.B.Corp Ltd.
DBL,Dilip Buildcon Ltd.
DBREALTY,D B Realty Ltd.
DCAL,Dishman Carbogen Amcis Ltd.
DCBBANK,United Western Bank Ltd.
DCHL,Deccan Chronicle Holdings Ltd.
DCW,DCW Ltd.
DELTACORP,Delta Corp Ltd.
DEN,Den Networks Ltd.
DENABANK,Dena Bank
DHAMPURSUG,Dhampur Sugar Mills Ltd.
DHANBANK,Dhanlaxmi Bank Ltd.
DHANI,Indiabulls Securities Ltd.
DHANUKA,Binani Cement Ltd.
DHFL,Dewan Housing Finance Corporation Ltd.
DICIND,DIC India Ltd.
DIGJAMLMTD,Digjam Ltd.
