Constituents list of CNX Midcap,,,,

Company Name,Industry,Symbol,Series,ISIN Code

Amtek Auto Ltd.,AUTO ANCILLARIES,AMTEKAUTO,EQ,INE130C01021
Asahi India Glass Ltd.,AUTO ANCILLARIES,ASAHIINDIA,EQ,INE439A01020
Exide Industries Ltd.,AUTO ANCILLARIES,EXIDEIND,EQ,INE302A01020
Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,MOTHERSUMI,EQ,INE775A01035
Sundaram-Clayton Ltd.,AUTO ANCILLARIES,SUNDRMCLAY,EQ,INE105A01019
TVS Motor Company Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,TVSMOTOR,EQ,INE494B01023
Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,ASHOKLEY,EQ,INE208A01029
HMT Ltd.,AUTOMOBILES - 4 WHEELERS,HMT,EQ,INE262A01018
Punjab Tractors Ltd.,AUTOMOBILES - 4 WHEELERS,PUNJABTRAC,EQ,INE170A01013
Allahabad Bank,BANKS,ALBK,EQ,INE428A01015
Andhra Bank,BANKS,ANDHRABANK,EQ,INE434A01013
Bank of India,BANKS,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra.,BANKS,MAHABANK,EQ,INE457A01014
Centurion Bank of Punjab Ltd.,BANKS,CENTBOP,EQ,INE484A01026
Corporation Bank,BANKS,CORPBANK,EQ,INE112A01015
IndusInd Bank Ltd.,BANKS,INDUSINDBK,EQ,INE095A01012
Industrial Development Bank of India Ltd.,BANKS,IDBI,EQ,INE008A01015
ING Vysya Bank Ltd.,BANKS,INGVYSYABK,EQ,INE166A01011
Jammu & Kashmir Bank Ltd.,BANKS,J&KBANK,EQ,INE168A01017
Syndicate Bank,BANKS,SYNDIBANK,EQ,INE667A01018
UCO Bank,BANKS,UCOBANK,EQ,INE691A01018
Union Bank of India,BANKS,UNIONBANK,EQ,INE692A01016
Vijaya Bank,BANKS,VIJAYABANK,EQ,INE705A01016
Birla Corporation Ltd.,CEMENT AND CEMENT PRODUCTS,BIRLAJUTE,EQ,INE340A01012
Madras Cements Ltd.,CEMENT AND CEMENT PRODUCTS,MADRASCEM,EQ,INE331A01029
Shree Cement Ltd.,CEMENT AND CEMENT PRODUCTS,SHREECEM,EQ,INE070A01015
HCL Infosystems Ltd.,COMPUTERS - HARDWARE,HCL-INSYS,EQ,INE236A01020
Moser Baer India Ltd.,COMPUTERS - HARDWARE,MOSERBAER,EQ,INE739A01015
Hexaware Technologies Ltd.,COMPUTERS - SOFTWARE,HEXAWARE,EQ,INE093A01033
Hinduja TMT Ltd.,COMPUTERS - SOFTWARE,HTMT,EQ,INE353A01015
Mphasis BFL Ltd.,COMPUTERS - SOFTWARE,MPHASISBFL,EQ,INE356A01018
Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,PATNI,EQ,INE660F01012
Polaris Software Lab Ltd.,COMPUTERS - SOFTWARE,POLARIS,EQ,INE763A01023
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01010
Gammon India Ltd.,CONSTRUCTION,GAMMONIND,EQ,INE259B01020
Nirma Ltd.,DETERGENTS,NIRMA,EQ,INE091A01011
Cummins India Ltd.,DIESEL ENGINES,CUMMINSIND,EQ,INE298A01020
Century Textile & Industries Ltd.,DIVERSIFIED,CENTURYTEX,EQ,INE055A01016
Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,CROMPGREAV,EQ,INE067A01029
Thermax Ltd.,ELECTRICAL EQUIPMENT,THERMAX,EQ,INE152A01029
Alfa Laval (India) Ltd.,ENGINEERING,ALFALAVAL,EQ,INE427A01017
Bharat Earth Movers Ltd.,ENGINEERING,BEML,EQ,INE258A01016
Sundaram Fasteners Ltd.,FASTNERS,SUNDRMFAST,EQ,INE387A01021
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS,CHAMBLFERT,EQ,INE085A01013
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS,RCF,EQ,INE027A01015
Indiabulls Financial Services Ltd.,FINANCE,INDIABULLS,EQ,INE894F01025
LIC Housing Finance Ltd.,FINANCE - HOUSING,LICHSGFIN,EQ,INE115A01018
Britannia Industries Ltd.,FOOD AND FOOD PROCESSING,BRITANNIA,EQ,INE216A01014
GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,GSKCONS,EQ,INE264A01014
Indraprastha Gas Ltd.,GAS,IGL,EQ,INE203G01019
Petronet LNG Ltd.,GAS,PETRONET,EQ,INE347G01014
EIH Ltd.,HOTELS,EIHOTEL,EQ,INE230A01023
Hotel Leelaventure Ltd.,HOTELS,HOTELEELA,EQ,INE102A01024
Gujarat NRE Coke Ltd.,MINING,GUJNRECOKE,EQ,INE110D01013
Sesa Goa Ltd.,MINING,SESAGOA,EQ,INE205A01017
Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,APOLLOHOSP,EQ,INE437A01016
Dredging Corporation of India Ltd.,MISCELLANEOUS,DREDGECORP,EQ,INE506A01018
Micro Inks Ltd.,MISCELLANEOUS,MICRO,EQ,INE056A01014
Pantaloon Retail (India) Ltd.,MISCELLANEOUS,PANTALOONR,EQ,INE623B01019
Aban Offshore Ltd.,OIL EXPLORATION/PRODUCTION,ABAN,EQ,INE421A01028
Max India Ltd.,PACKAGING,MAX,EQ,INE180A01012
Asian Paints Ltd.,PAINTS,ASIANPAINT,EQ,INE021A01018
Kansai Nerolac Paints Ltd.,PAINTS,KANSAINER,EQ,INE531A01016
Ballarpur Industries Ltd.,PAPER AND PAPER PRODUCTS,BILT,EQ,INE294A01011
Colgate-Palmolive (India) Ltd.,PERSONAL CARE,COLGATE,EQ,INE259A01014
